item_nbr,store_nbr,mae,mean_sales,mae_pct,safety_stock,reorder_point,eoq,ABC,XYZ,ABC_XYZ,family,perishable,unit_price,daily_revenue,revenue_at_risk,annual_revenue,annual_revenue_at_risk,stockout_prob,daily_stockout_cost,annual_stockout_cost,current_stock,alert,alert_urgency
210798,1,1.69,3.23,52.3,11,34,243,A,Z,AZ,GROCERY I,0,2.5,8.075,4.225,2947.3749999999995,1542.1249999999998,0.18,1.4534999999999998,530.5274999999999,19.0,True,Reorder Now
211203,1,3.5,8.93,39.1,21,83,404,A,Z,AZ,GROCERY I,0,2.5,22.325,8.75,8148.625,3193.75,0.18,4.0184999999999995,1466.7524999999998,113.0,False,OK
211205,1,1.37,2.87,47.6,7,27,229,A,Z,AZ,GROCERY I,0,2.5,7.175000000000001,3.4250000000000003,2618.8750000000005,1250.125,0.18,1.2915,471.39750000000004,13.0,True,Critical
212552,1,1.33,2.0,66.6,7,21,191,A,Z,AZ,GROCERY I,0,2.5,5.0,3.325,1825.0,1213.625,0.18,0.8999999999999999,328.49999999999994,33.0,False,OK
213066,1,1.54,3.34,46.1,10,33,247,A,Y,AY,GROCERY I,0,2.5,8.35,3.85,3047.75,1405.25,0.08,0.668,243.82000000000002,44.0,False,OK
213652,1,5.52,7.51,73.6,50,103,370,A,Z,AZ,GROCERY I,0,2.5,18.775,13.799999999999999,6852.874999999999,5037.0,0.18,3.3794999999999997,1233.5175,66.0,True,Reorder Now
213788,1,1.09,2.23,48.9,6,22,202,A,Z,AZ,GROCERY I,0,2.5,5.575,2.725,2034.875,994.625,0.18,1.0035,366.27750000000003,9.0,True,Critical
214381,1,2.2,3.96,55.7,14,42,269,A,Z,AZ,CLEANING,0,4.0,15.84,8.8,5781.6,3212.0000000000005,0.18,2.8512,1040.6879999999999,58.0,False,OK
214859,1,2.38,3.57,66.7,10,35,255,A,Z,AZ,CLEANING,0,4.0,14.28,9.52,5212.2,3474.7999999999997,0.18,2.5704,938.1959999999999,44.0,False,OK
214860,1,1.72,2.92,58.8,10,30,231,A,Z,AZ,CLEANING,0,4.0,11.68,6.88,4263.2,2511.2,0.18,2.1024,767.376,38.0,False,OK
214862,1,1.21,2.48,48.9,6,23,213,A,Z,AZ,CLEANING,0,4.0,9.92,4.84,3620.8,1766.6,0.18,1.7855999999999999,651.7439999999999,30.0,False,OK
215303,1,0.84,1.67,50.1,4,16,174,A,Z,AZ,GROCERY I,0,2.5,4.175,2.1,1523.875,766.5,0.18,0.7515,274.29749999999996,8.0,True,Critical
215327,1,1.57,2.36,66.7,8,24,207,A,Z,AZ,GROCERY I,0,2.5,5.8999999999999995,3.9250000000000003,2153.5,1432.625,0.18,1.0619999999999998,387.62999999999994,20.0,True,Reorder Now
215331,1,2.16,4.69,46.1,12,45,292,A,Z,AZ,GROCERY I,0,2.5,11.725000000000001,5.4,4279.625000000001,1971.0000000000002,0.18,2.1105,770.3325,24.0,True,Reorder Now
215332,1,1.81,3.84,47.1,9,36,265,A,Z,AZ,GROCERY I,0,2.5,9.6,4.525,3504.0,1651.6250000000002,0.18,1.728,630.72,52.0,False,OK
215352,1,5.55,9.39,59.2,23,89,414,A,Z,AZ,GROCERY I,0,2.5,23.475,13.875,8568.375,5064.375,0.18,4.2255,1542.3075000000001,102.0,False,OK
215356,1,2.66,4.17,63.8,18,48,276,A,Y,AY,GROCERY I,0,2.5,10.425,6.65,3805.1250000000005,2427.25,0.08,0.8340000000000001,304.41,38.0,True,Reorder Now
215370,1,1.41,2.39,59.0,6,23,209,A,Z,AZ,BREAD/BAKERY,1,1.5,3.585,2.1149999999999998,1308.525,771.9749999999999,0.18,0.6453,353.30175,11.0,True,Critical
215896,1,3.79,6.08,62.4,21,64,333,A,Z,AZ,GROCERY I,0,2.5,15.2,9.475,5548.0,3458.375,0.18,2.7359999999999998,998.6399999999999,49.0,True,Reorder Now
219147,1,1.71,3.56,48.1,10,35,255,A,Z,AZ,BEVERAGES,0,3.0,10.68,5.13,3898.2,1872.45,0.18,1.9223999999999999,701.6759999999999,28.0,True,Reorder Now
219150,1,3.91,8.89,44.0,23,86,403,A,Z,AZ,BEVERAGES,0,3.0,26.67,11.73,9734.550000000001,4281.45,0.18,4.8006,1752.219,110.0,False,OK
219152,1,0.85,1.83,46.2,6,19,183,A,Z,AZ,BEVERAGES,0,3.0,5.49,2.55,2003.8500000000001,930.7499999999999,0.18,0.9882,360.693,22.0,False,OK
220435,1,3.2,8.47,37.8,19,79,393,A,Z,AZ,GROCERY I,0,2.5,21.175,8.0,7728.875,2920.0,0.18,3.8115,1391.1975,116.0,False,OK
222879,1,2.29,5.6,40.8,12,51,320,A,Z,AZ,GROCERY I,0,2.5,14.0,5.725,5110.0,2089.625,0.18,2.52,919.8,49.0,True,Reorder Now
222975,1,2.29,3.97,57.6,14,42,269,A,Z,AZ,GROCERY I,0,2.5,9.925,5.725,3622.6250000000005,2089.625,0.18,1.7865,652.0725,23.0,True,Reorder Now
223136,1,2.46,3.61,68.2,13,38,257,A,Z,AZ,GROCERY I,0,2.5,9.025,6.15,3294.125,2244.75,0.18,1.6245,592.9425,48.0,False,OK
223434,1,0.92,2.33,39.7,5,21,206,A,Y,AY,GROCERY I,0,2.5,5.825,2.3000000000000003,2126.125,839.5000000000001,0.08,0.466,170.09,28.0,False,OK
226126,1,2.08,3.1,67.2,13,35,238,A,Y,AY,CLEANING,0,4.0,12.4,8.32,4526.0,3036.8,0.08,0.9920000000000001,362.08000000000004,38.0,False,OK
226857,1,4.13,6.43,64.3,19,64,343,A,Z,AZ,GROCERY I,0,2.5,16.075,10.325,5867.375,3768.6249999999995,0.18,2.8935,1056.1275,85.0,False,OK
252970,1,1.73,4.9,35.4,10,44,299,A,Y,AY,CLEANING,0,4.0,19.6,6.92,7154.000000000001,2525.8,0.08,1.568,572.32,44.0,True,Reorder Now
252972,1,2.86,4.14,69.1,10,39,275,A,Y,AY,CLEANING,0,4.0,16.56,11.44,6044.4,4175.599999999999,0.08,1.3248,483.55199999999996,40.0,False,OK
255161,1,1.34,1.2,111.3,2,10,148,A,Z,AZ,GROCERY I,0,2.5,3.0,3.35,1095.0,1222.75,0.18,0.54,197.10000000000002,9.0,True,Reorder Now
257847,1,7.77,5.0,155.4,16,51,302,A,Z,AZ,BEVERAGES,0,3.0,15.0,23.31,5475.0,8508.15,0.18,2.6999999999999997,985.4999999999999,22.0,True,Critical
257848,1,2.87,5.43,52.9,22,60,315,A,Z,AZ,BEVERAGES,0,3.0,16.29,8.61,5945.849999999999,3142.6499999999996,0.18,2.9322,1070.253,32.0,True,Reorder Now
258268,1,2.21,5.23,42.2,12,49,309,A,Y,AY,EGGS,1,2.0,10.46,4.42,3817.9,1613.3,0.08,0.8368000000000001,458.148,21.0,True,Critical
258376,1,2.06,3.4,60.7,10,34,249,A,Z,AZ,CLEANING,0,4.0,13.6,8.24,4964.0,3007.6,0.18,2.448,893.52,40.0,False,OK
258396,1,2.49,6.52,38.2,14,60,345,A,Z,AZ,GROCERY I,0,2.5,16.299999999999997,6.2250000000000005,5949.499999999999,2272.125,0.18,2.9339999999999993,1070.9099999999996,47.0,True,Reorder Now
258411,1,1.14,2.44,46.9,6,23,211,A,Z,AZ,FROZEN FOODS,0,3.5,8.54,3.9899999999999998,3117.1,1456.35,0.18,1.5372,561.078,23.0,True,Reorder Now
261052,1,2.96,7.41,39.9,14,66,368,A,Z,AZ,GROCERY I,0,2.5,18.525,7.4,6761.624999999999,2701.0,0.18,3.3345,1217.0925,98.0,False,OK
261053,1,12.3,23.97,51.3,92,260,661,A,Z,AZ,GROCERY I,0,2.5,59.925,30.75,21872.625,11223.75,0.18,10.786499999999998,3937.0724999999993,182.0,True,Reorder Now
261700,1,1.44,2.85,50.6,8,28,228,A,Z,AZ,GROCERY I,0,2.5,7.125,3.5999999999999996,2600.625,1313.9999999999998,0.18,1.2825,468.1125,25.0,True,Reorder Now
262991,1,3.04,3.89,78.1,11,38,266,A,Y,AY,GROCERY I,0,2.5,9.725,7.6,3549.625,2774.0,0.08,0.778,283.97,50.0,False,OK
264299,1,2.2,2.22,99.2,7,22,201,A,Z,AZ,CLEANING,0,4.0,8.88,8.8,3241.2000000000003,3212.0000000000005,0.18,1.5984,583.416,15.0,True,Reorder Now
264452,1,1.99,2.81,70.9,9,28,226,A,Y,AY,CLEANING,0,4.0,11.24,7.96,4102.6,2905.4,0.08,0.8992,328.208,14.0,True,Critical
265086,1,4.36,3.31,131.5,12,35,246,A,Z,AZ,BEVERAGES,0,3.0,9.93,13.080000000000002,3624.45,4774.200000000001,0.18,1.7873999999999999,652.401,26.0,True,Reorder Now
265237,1,1.54,2.77,55.4,8,27,225,A,Z,AZ,GROCERY I,0,2.5,6.925,3.85,2527.625,1405.25,0.18,1.2465,454.97249999999997,16.0,True,Reorder Now
265254,1,4.59,8.87,51.8,27,89,402,A,Y,AY,GROCERY I,0,2.5,22.174999999999997,11.475,8093.874999999999,4188.375,0.08,1.7739999999999998,647.5099999999999,135.0,False,OK
265279,1,2.16,3.63,59.4,10,36,257,A,Y,AY,BREAD/BAKERY,1,1.5,5.445,3.24,1987.4250000000002,1182.6000000000001,0.08,0.43560000000000004,238.49100000000004,49.0,False,OK
265559,1,6.21,17.28,35.9,41,162,562,A,Z,AZ,GROCERY I,0,2.5,43.2,15.525,15768.000000000002,5666.625,0.18,7.776,2838.24,188.0,False,OK
268440,1,1.39,2.46,56.4,13,31,212,A,Y,AY,CLEANING,0,4.0,9.84,5.56,3591.6,2029.3999999999999,0.08,0.7872,287.32800000000003,45.0,False,OK
268443,1,4.53,4.54,99.7,16,48,288,A,Z,AZ,CLEANING,0,4.0,18.16,18.12,6628.4,6613.8,0.18,3.2687999999999997,1193.1119999999999,65.0,False,OK
268664,1,1.77,3.69,48.1,12,37,259,A,Z,AZ,GROCERY I,0,2.5,9.225,4.425,3367.125,1615.125,0.18,1.6604999999999999,606.0825,23.0,True,Reorder Now
268676,1,1.62,2.9,56.0,8,29,230,A,Z,AZ,GROCERY I,0,2.5,7.25,4.050000000000001,2646.25,1478.2500000000002,0.18,1.305,476.325,43.0,False,OK
268834,1,1.71,2.4,71.4,8,25,209,A,Z,AZ,GROCERY I,0,2.5,6.0,4.275,2190.0,1560.3750000000002,0.18,1.08,394.20000000000005,26.0,False,OK
269029,1,6.78,6.34,106.9,42,86,340,A,Z,AZ,BEVERAGES,0,3.0,19.02,20.34,6942.3,7424.1,0.18,3.4236,1249.614,118.0,False,OK
269036,1,1.52,2.84,53.5,9,28,228,A,Z,AZ,BEVERAGES,0,3.0,8.52,4.5600000000000005,3109.7999999999997,1664.4,0.18,1.5335999999999999,559.7639999999999,41.0,False,OK
269287,1,5.12,6.6,77.5,40,86,347,A,Z,AZ,CLEANING,0,4.0,26.4,20.48,9636.0,7475.2,0.18,4.752,1734.48,67.0,True,Reorder Now
271479,1,1.5,2.78,54.0,8,27,225,A,Z,AZ,DAIRY,1,2.2,6.116,3.3000000000000003,2232.3399999999997,1204.5,0.18,1.1008799999999999,602.7318,14.0,True,Reorder Now
273528,1,3.4,11.1,30.6,22,99,450,A,Y,AY,PERSONAL CARE,0,5.0,55.5,17.0,20257.5,6205.0,0.08,4.44,1620.6000000000001,67.0,True,Reorder Now
275823,1,1.13,1.88,59.9,5,18,185,A,Z,AZ,CLEANING,0,4.0,7.52,4.52,2744.7999999999997,1649.8,0.18,1.3536,494.06399999999996,16.0,True,Reorder Now
302952,1,1.48,3.15,47.1,9,31,240,A,Y,AY,BREAD/BAKERY,1,1.5,4.725,2.2199999999999998,1724.6249999999998,810.3,0.08,0.378,206.95499999999998,43.0,False,OK
302997,1,1.72,2.61,65.7,10,29,218,A,Z,AZ,GROCERY I,0,2.5,6.5249999999999995,4.3,2381.625,1569.5,0.18,1.1744999999999999,428.69249999999994,42.0,False,OK
302998,1,1.9,3.26,58.2,10,33,244,A,Z,AZ,GROCERY I,0,2.5,8.149999999999999,4.75,2974.7499999999995,1733.75,0.18,1.4669999999999996,535.4549999999998,13.0,True,Critical
305079,1,3.1,4.62,67.1,12,44,290,A,Z,AZ,GROCERY I,0,2.5,11.55,7.75,4215.75,2828.75,0.18,2.079,758.835,45.0,False,OK
305080,1,5.06,14.05,36.0,35,133,506,A,Z,AZ,GROCERY I,0,2.5,35.125,12.649999999999999,12820.625,4617.249999999999,0.18,6.3225,2307.7125,120.0,True,Reorder Now
305227,1,2.32,4.07,57.0,12,40,273,A,Z,AZ,GROCERY I,0,2.5,10.175,5.8,3713.8750000000005,2117.0,0.18,1.8315000000000001,668.4975000000001,27.0,True,Reorder Now
305229,1,5.72,18.15,31.5,34,161,576,A,Y,AY,GROCERY I,0,2.5,45.375,14.299999999999999,16561.875,5219.5,0.08,3.63,1324.95,88.0,True,Reorder Now
308726,1,0.92,1.62,56.4,4,15,172,A,Y,AY,GROCERY I,0,2.5,4.050000000000001,2.3000000000000003,1478.2500000000002,839.5000000000001,0.08,0.32400000000000007,118.26000000000002,12.0,True,Reorder Now
310644,1,5.93,11.55,51.3,36,116,459,A,Y,AY,BREAD/BAKERY,1,1.5,17.325000000000003,8.895,6323.625000000001,3246.6749999999997,0.08,1.3860000000000003,758.8350000000002,178.0,False,OK
310671,1,1.49,2.43,61.2,8,25,211,A,Z,AZ,GROCERY I,0,2.5,6.075,3.725,2217.375,1359.625,0.18,1.0935,399.1275,20.0,True,Reorder Now
311994,1,2.88,19.51,14.7,18,155,597,A,Y,AY,BREAD/BAKERY,1,1.5,29.265,4.32,10681.725,1576.8000000000002,0.08,2.3412,1281.807,158.0,False,OK
314384,1,4.43,17.45,25.4,34,157,564,A,Y,AY,GROCERY I,0,2.5,43.625,11.075,15923.125,4042.3749999999995,0.08,3.49,1273.8500000000001,195.0,False,OK
314393,1,1.95,3.18,61.3,14,36,241,A,Z,AZ,CLEANING,0,4.0,12.72,7.8,4642.8,2847.0,0.18,2.2896,835.7040000000001,30.0,True,Reorder Now
314570,1,1.14,2.13,53.3,5,20,197,A,Z,AZ,CLEANING,0,4.0,8.52,4.56,3109.7999999999997,1664.3999999999999,0.18,1.5335999999999999,559.7639999999999,31.0,False,OK
314880,1,1.36,2.51,54.2,7,24,214,A,Z,AZ,CLEANING,0,4.0,10.04,5.44,3664.6,1985.6000000000001,0.18,1.8071999999999997,659.6279999999999,37.0,False,OK
315176,1,3.94,7.09,55.5,23,73,360,A,Z,AZ,BEVERAGES,0,3.0,21.27,11.82,7763.55,4314.3,0.18,3.8286,1397.4389999999999,51.0,True,Reorder Now
315178,1,3.1,5.37,57.8,14,52,313,A,Z,AZ,BEVERAGES,0,3.0,16.11,9.3,5880.15,3394.5000000000005,0.18,2.8998,1058.427,52.0,True,Reorder Now
315179,1,4.27,3.27,130.4,16,39,244,A,Z,AZ,BEVERAGES,0,3.0,9.81,12.809999999999999,3580.65,4675.65,0.18,1.7658,644.517,30.0,True,Reorder Now
